yearID,teamID,team_name,wins,losses,running_average_wins,avg_weight,avg_height,roster_size,avg_games_played,median_games_played
2018,SEA,"Seattle Mariners",89,73,84,209.57,73.21,53,45,28
2018,SFN,"San Francisco Giants",73,89,75,215.65,73.52,48,50,37
2018,SLN,"St. Louis Cardinals",88,74,86,212.59,73.92,49,50,31
2018,TBA,"Tampa Bay Rays",90,72,79,210.56,73.33,54,44,31
2018,TEX,"Texas Rangers",67,95,80,209.22,73.52,50,46,22
2018,TOR,"Toronto Blue Jays",73,89,79,210.83,73.54,63,39,21
2018,WAS,"Washington Nationals",82,80,91,214.17,73.74,53,46,35
2017,ARI,"Arizona Diamondbacks",93,69,80,211.36,73.51,45,52,41
2017,ATL,"Atlanta Braves",72,90,69,215.24,73.49,49,48,37
2017,BAL,"Baltimore Orioles",75,87,82,214.72,74.18,50,47,28
2017,BOS,"Boston Red Sox",93,69,88,212.31,73.37,49,48,32
2017,CHA,"Chicago White Sox",67,95,74,214.94,73.90,51,45,30
2017,CHN,"Chicago Cubs",92,70,97,211.68,73.72,47,51,32
2017,CIN,"Cincinnati Reds",68,94,67,215.62,74.13,47,49,25
2017,CLE,"Cleveland Indians",102,60,92,205.02,73.27,41,58,50
2017,COL,"Colorado Rockies",87,75,77,216.73,73.66,41,58,35
2017,DET,"Detroit Tigers",64,98,75,215.47,74.12,49,48,28
2017,HOU,"Houston Astros",101,61,90,213.57,73.83,46,50,30
2017,KCA,"Kansas City Royals",80,82,85,213.06,74.00,49,48,29
2017,LAA,"Los Angeles Angels of Anaheim",80,82,80,214.11,73.45,55,43,24
2017,LAN,"Los Angeles Dodgers",104,58,96,212.25,73.90,52,47,27
2017,MIA,"Miami Marlins",77,85,76,212.12,73.26,43,56,38
2017,MIL,"Milwaukee Brewers",86,76,76,214.54,73.96,50,48,29
2017,MIN,"Minnesota Twins",85,77,76,215.83,74.27,52,45,23
2017,NYA,"New York Yankees",91,71,87,217.02,74.10,51,45,30
2017,NYN,"New York Mets",70,92,82,212.37,73.75,52,46,34
2017,OAK,"Oakland Athletics",75,87,71,211.26,73.17,54,44,25
2017,PHI,"Philadelphia Phillies",66,96,67,213.33,74.00,51,45,29
2017,PIT,"Pittsburgh Pirates",75,87,84,212.49,73.66,47,50,32
2017,SDN,"San Diego Padres",71,91,71,208.63,73.71,52,45,29
2017,SEA,"Seattle Mariners",78,84,80,205.72,73.07,61,38,13
2017,SFN,"San Francisco Giants",64,98,78,218.63,73.76,49,48,34
2017,SLN,"St. Louis Cardinals",83,79,90,211.15,73.92,48,50,33
2017,TBA,"Tampa Bay Rays",80,82,76,213.11,73.38,53,44,30
2017,TEX,"Texas Rangers",78,84,87,207.53,73.47,51,44,23
2017,TOR,"Toronto Blue Jays",76,86,86,208.68,73.28,60,41,21
2017,WAS,"Washington Nationals",97,65,92,213.63,74.00,49,47,32
2016,ARI,"Arizona Diamondbacks",69,93,71,215.92,73.74,50,48,28
2016,ATL,"Atlanta Braves",68,93,71,213.62,73.90,60,40,22
2016,BAL,"Baltimore Orioles",89,73,89,210.91,74.51,47,48,24
2016,BOS,"Boston Red Sox",93,69,81,209.24,72.96,50,46,33
2016,CHA,"Chicago White Sox",78,84,76,213.54,73.80,50,44,28
2016,CHN,"Chicago Cubs",103,58,91,213.51,74.18,45,52,33
2016,CIN,"Cincinnati Reds",68,94,69,214.31,73.65,52,44,24
2016,CLE,"Cleveland Indians",94,67,87,211.56,73.35,48,49,29
2016,COL,"Colorado Rockies",75,87,70,210.55,73.94,47,50,32
2016,DET,"Detroit Tigers",86,75,83,218.61,74.16,44,52,31
2016,HOU,"Houston Astros",84,78,80,215.26,74.14,43,54,45
2016,KCA,"Kansas City Royals",81,81,88,210.69,73.50,42,53,36
2016,LAA,"Los Angeles Angels of Anaheim",74,88,86,212.19,73.51,53,46,29
2016,LAN,"Los Angeles Dodgers",91,71,92,213.07,73.87,55,45,27
2016,MIA,"Miami Marlins",79,82,76,213.62,73.68,53,46,25
2016,MIL,"Milwaukee Brewers",73,89,74,213.30,73.46,50,47,32
2016,MIN,"Minnesota Twins",59,103,71,213.27,73.80,49,47,32
2016,NYA,"New York Yankees",84,78,85,217.62,74.11,53,44,28
2016,NYN,"New York Mets",87,75,85,213.11,73.85,46,53,40
2016,OAK,"Oakland Athletics",69,93,75,211.41,73.51,51,46,31
2016,PHI,"Philadelphia Phillies",71,91,69,214.47,73.84,49,48,30
2016,PIT,"Pittsburgh Pirates",78,83,88,214.64,74.07,55,45,24
2016,SDN,"San Diego Padres",68,94,73,212.76,73.95,58,41,18
2016,SEA,"Seattle Mariners",86,76,83,211.44,73.48,54,44,22
2016,SFN,"San Francisco Giants",87,75,86,212.22,73.98,45,53,40
2016,SLN,"St. Louis Cardinals",86,76,92,212.32,73.51,41,59,34
2016,TBA,"Tampa Bay Rays",68,94,75,210.10,73.27,48,48,33
2016,TEX,"Texas Rangers",95,67,83,212.60,73.87,52,45,32
2016,TOR,"Toronto Blue Jays",89,73,88,208.51,73.63,49,48,29
2016,WAS,"Washington Nationals",95,67,91,219.93,74.23,43,54,36
2015,ARI,"Arizona Diamondbacks",79,83,75,217.48,73.76,50,48,29
2015,ATL,"Atlanta Braves",67,95,81,211.77,73.70,60,39,27
2015,BAL,"Baltimore Orioles",81,81,87,211.00,73.92,48,47,31
2015,BOS,"Boston Red Sox",78,84,82,212.02,73.04,51,44,32
2015,CHA,"Chicago White Sox",76,86,71,214.58,73.58,40,57,36
2015,CHN,"Chicago Cubs",97,65,79,212.52,73.76,50,48,32
2015,CIN,"Cincinnati Reds",64,98,77,215.24,73.36,50,47,27
2015,CLE,"Cleveland Indians",81,80,86,210.22,73.29,49,47,31
2015,COL,"Colorado Rockies",68,94,69,211.14,73.98,51,48,30
2015,DET,"Detroit Tigers",74,87,86,218.81,74.02,47,50,30
2015,HOU,"Houston Astros",86,76,69,216.48,73.85,46,51,32
2015,KCA,"Kansas City Royals",95,67,90,213.24,73.36,45,50,30
2015,LAA,"Los Angeles Angels of Anaheim",85,77,87,207.49,73.20,51,48,33
2015,LAN,"Los Angeles Dodgers",92,70,93,214.45,73.69,55,43,29
2015,MIA,"Miami Marlins",71,91,70,213.04,73.80,51,45,25
2015,MIL,"Milwaukee Brewers",68,94,75,212.10,73.27,49,49,38
2015,MIN,"Minnesota Twins",83,79,73,213.73,74.05,44,53,32
2015,NYA,"New York Yankees",87,75,85,215.27,74.05,56,43,22
2015,NYN,"New York Mets",90,72,81,211.71,73.59,49,47,33
2015,OAK,"Oakland Athletics",68,94,84,208.21,73.08,52,45,26
2015,PHI,"Philadelphia Phillies",63,99,70,220.78,74.36,50,46,32
2015,PIT,"Pittsburgh Pirates",98,64,93,216.59,74.20,46,53,29
2015,SDN,"San Diego Padres",74,88,76,213.48,73.41,46,52,36
2015,SEA,"Seattle Mariners",76,86,78,213.02,73.90,51,47,32
2015,SFN,"San Francisco Giants",84,78,83,209.19,73.48,48,49,35
2015,SLN,"St. Louis Cardinals",100,62,96,216.46,74.04,46,52,33
2015,TBA,"Tampa Bay Rays",80,82,83,209.61,73.08,51,49,34
2015,TEX,"Texas Rangers",88,74,82,217.23,73.86,57,41,30
2015,TOR,"Toronto Blue Jays",93,69,83,206.56,73.19,52,45,31
2015,WAS,"Washington Nationals",83,79,88,217.91,74.55,44,51,34
2014,ARI,"Arizona Diamondbacks",64,98,75,212.60,73.54,52,44,33
2014,ATL,"Atlanta Braves",79,83,90,212.90,74.13,39,58,45
2014,BAL,"Baltimore Orioles",96,66,91,208.80,73.80,44,52,31
2014,BOS,"Boston Red Sox",71,91,79,210.51,73.18,55,42,28
2014,CHA,"Chicago White Sox",73,89,74,221.80,74.32,44,52,35
2014,CHN,"Chicago Cubs",73,89,67,212.27,73.50,48,49,42
2014,CIN,"Cincinnati Reds",76,86,88,217.40,73.62,45,49,34
2014,CLE,"Cleveland Indians",85,77,82,210.33,73.30,46,52,35
2014,COL,"Colorado Rockies",66,96,68,212.51,73.96,49,49,31
2014,DET,"Detroit Tigers",90,72,90,217.40,74.33,48,49,22
2014,HOU,"Houston Astros",70,92,59,214.71,73.85,48,46,28
2014,KCA,"Kansas City Royals",89,73,82,209.10,72.85,48,47,25
2014,LAA,"Los Angeles Angels of Anaheim",98,64,88,211.98,73.59,54,46,27
2014,LAN,"Los Angeles Dodgers",94,68,91,218.14,73.78,49,48,26
2014,MIA,"Miami Marlins",77,85,69,217.62,74.04,45,51,32
2014,MIL,"Milwaukee Brewers",82,80,80,211.60,73.05,40,58,33
2014,MIN,"Minnesota Twins",70,92,67,212.58,73.79,48,48,33
2014,NYA,"New York Yankees",84,78,88,212.31,73.78,58,39,18
2014,NYN,"New York Mets",79,83,76,212.69,73.42,45,51,32
2014,OAK,"Oakland Athletics",88,74,93,213.87,73.56,45,52,33
2014,PHI,"Philadelphia Phillies",73,89,76,216.53,73.86,49,47,30
2014,PIT,"Pittsburgh Pirates",88,74,87,216.42,73.89,45,52,26
2014,SDN,"San Diego Padres",77,85,76,212.16,72.92,51,46,32
2014,SEA,"Seattle Mariners",87,75,78,218.05,74.25,44,53,47
2014,SFN,"San Francisco Giants",88,74,86,212.91,73.59,46,51,35
2014,SLN,"St. Louis Cardinals",90,72,92,211.96,73.41,46,51,32
2014,TBA,"Tampa Bay Rays",77,85,86,207.93,73.30,43,55,32
2014,TEX,"Texas Rangers",67,95,84,217.03,73.91,64,35,23
2014,TOR,"Toronto Blue Jays",83,79,77,207.58,73.18,55,44,30
2014,WAS,"Washington Nationals",96,66,93,215.20,74.30,40,57,47
2013,ARI,"Arizona Diamondbacks",81,81,85,211.59,73.45,44,53,34
2013,ATL,"Atlanta Braves",96,66,93,211.09,73.66,44,52,35
2013,BAL,"Baltimore Orioles",85,77,82,212.12,74.02,52,43,23
2013,BOS,"Boston Red Sox",97,65,85,209.56,73.40,48,47,27
2013,CHA,"Chicago White Sox",63,99,76,216.79,74.04,47,48,30
2013,CHN,"Chicago Cubs",66,96,66,210.46,73.39,56,41,27
2013,CIN,"Cincinnati Reds",90,72,89,216.31,73.90,39,59,38
2013,CLE,"Cleveland Indians",92,70,80,210.65,73.61,49,48,27
2013,COL,"Colorado Rockies",74,88,70,211.23,73.95,43,54,37
2013,DET,"Detroit Tigers",93,69,92,218.54,73.82,39,58,34
2013,HOU,"Houston Astros",51,111,54,213.30,73.44,50,45,35
2013,KCA,"Kansas City Royals",86,76,76,207.70,72.98,43,52,34
2013,LAA,"Los Angeles Angels of Anaheim",78,84,84,213.65,73.61,49,47,33
2013,LAN,"Los Angeles Dodgers",92,70,87,214.94,73.43,49,48,29
2013,MIA,"Miami Marlins",62,100,66,216.15,74.09,53,42,20
2013,MIL,"Milwaukee Brewers",74,88,84,210.28,73.10,40,58,43
2013,MIN,"Minnesota Twins",66,96,65,211.95,73.70,44,53,48
2013,NYA,"New York Yankees",85,77,92,213.91,73.73,56,40,23
2013,NYN,"New York Mets",74,88,75,212.60,73.42,53,45,32
2013,OAK,"Oakland Athletics",96,66,88,208.84,73.18,44,53,33
2013,PHI,"Philadelphia Phillies",73,89,85,215.18,73.73,51,45,28
2013,PIT,"Pittsburgh Pirates",94,68,82,216.80,73.90,49,48,29
2013,SDN,"San Diego Padres",76,86,74,210.91,73.06,47,50,33
2013,SEA,"Seattle Mariners",71,91,71,218.89,74.36,47,48,33
2013,SFN,"San Francisco Giants",76,86,85,211.91,73.18,44,54,39
2013,SLN,"St. Louis Cardinals",97,65,92,212.18,73.43,44,53,31
2013,TBA,"Tampa Bay Rays",92,71,91,211.21,73.36,42,58,35
2013,TEX,"Texas Rangers",91,72,93,212.43,73.87,46,50,25
2013,TOR,"Toronto Blue Jays",74,88,76,209.81,73.26,53,44,33
2013,WAS,"Washington Nationals",86,76,88,214.36,73.70,44,51,32
2012,ARI,"Arizona Diamondbacks",81,81,80,214.06,73.25,48,46,30
2012,ATL,"Atlanta Braves",94,68,91,211.10,73.51,41,55,43
2012,BAL,"Baltimore Orioles",93,69,76,211.79,73.83,52,44,28
2012,BOS,"Boston Red Sox",69,93,83,211.23,73.50,56,41,33
2012,CHA,"Chicago White Sox",85,77,84,216.31,73.84,45,51,32
2012,CHN,"Chicago Cubs",61,101,69,208.79,73.51,53,44,26
2012,CIN,"Cincinnati Reds",97,65,89,217.53,73.84,38,58,36
2012,CLE,"Cleveland Indians",68,94,72,212.63,74.06,48,49,27
2012,COL,"Colorado Rockies",64,98,73,210.45,73.55,49,50,32
2012,DET,"Detroit Tigers",88,74,88,212.77,73.79,47,48,27
2012,HOU,"Houston Astros",55,107,62,213.82,73.88,50,48,35
2012,KCA,"Kansas City Royals",72,90,70,215.28,72.83,46,49,32
2012,LAA,"Los Angeles Angels of Anaheim",89,73,85,213.68,73.27,44,52,32
2012,LAN,"Los Angeles Dodgers",86,76,83,215.14,73.64,50,47,36
2012,MIA,"Miami Marlins",69,93,69,215.44,73.42,45,50,44
2012,MIL,"Milwaukee Brewers",83,79,85,208.04,73.28,46,53,33
2012,MIN,"Minnesota Twins",66,96,74,210.21,73.36,47,48,30
2012,NYA,"New York Yankees",95,67,96,213.64,73.89,45,53,33
2012,NYN,"New York Mets",74,88,77,215.59,73.98,49,49,30
2012,OAK,"Oakland Athletics",94,68,83,213.38,73.32,50,45,31
2012,PHI,"Philadelphia Phillies",81,81,93,213.37,73.90,49,47,34
2012,PIT,"Pittsburgh Pirates",79,83,69,212.47,73.76,49,48,31
2012,SDN,"San Diego Padres",76,86,79,210.55,73.57,53,45,27
2012,SEA,"Seattle Mariners",75,87,68,217.76,74.05,38,59,40
2012,SFN,"San Francisco Giants",94,68,91,214.87,73.47,45,53,35
2012,SLN,"St. Louis Cardinals",88,74,88,211.16,73.44,45,53,32
2012,TBA,"Tampa Bay Rays",90,72,92,209.42,73.74,43,56,42
2012,TEX,"Texas Rangers",93,69,93,212.62,73.87,39,57,36
2012,TOR,"Toronto Blue Jays",73,89,80,210.63,73.26,54,42,30
2012,WAS,"Washington Nationals",98,64,82,215.07,73.79,43,54,40
2011,ARI,"Arizona Diamondbacks",94,68,76,216.94,73.49,51,44,32
2011,ATL,"Atlanta Braves",89,73,89,206.78,73.24,45,52,33
2011,BAL,"Baltimore Orioles",69,93,66,211.30,74.02,50,45,29
2011,BOS,"Boston Red Sox",90,72,91,211.35,73.90,49,46,30
2011,CHA,"Chicago White Sox",79,83,82,216.64,73.69,42,53,29
2011,CHN,"Chicago Cubs",71,91,76,213.60,73.90,42,57,36
2011,CIN,"Cincinnati Reds",79,83,83,216.29,73.90,42,56,41
2011,CLE,"Cleveland Indians",80,82,71,213.80,73.87,46,50,39
2011,COL,"Colorado Rockies",73,89,83,212.24,73.78,55,43,22
2011,DET,"Detroit Tigers",95,67,87,215.02,73.91,45,51,33
2011,FLO,"Florida Marlins",72,90,80,214.34,73.75,44,53,44
2011,HOU,"Houston Astros",56,106,69,211.32,73.04,47,51,43
2011,KCA,"Kansas City Royals",71,91,68,214.90,73.17,42,51,31
2011,LAA,"Los Angeles Angels of Anaheim",86,76,88,210.47,73.07,43,51,33
2011,LAN,"Los Angeles Dodgers",82,79,86,213.19,73.10,48,48,34
2011,MIL,"Milwaukee Brewers",96,66,84,208.73,73.10,48,48,29
2011,MIN,"Minnesota Twins",63,99,81,214.04,73.40,45,50,45
